2023-08-22 16:05:41.236 [main] INFO  org.springframework.boot.test.context.SpringBootTestContextBootstrapper - Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.wojucai.service.TestUserService], using SpringBootContextLoader
2023-08-22 16:08:11.445 [main] INFO  org.springframework.test.context.support.AnnotationConfigContextLoaderUtils - Could not detect default configuration classes for test class [com.wojucai.service.TestUserService]: TestUserService does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
2023-08-22 16:08:11.582 [main] INFO  org.springframework.boot.test.context.SpringBootTestContextBootstrapper - Found @SpringBootConfiguration com.wojucai.OAuthApplication for test class com.wojucai.service.TestUserService
2023-08-22 16:08:11.690 [main] INFO  org.springframework.boot.test.context.SpringBootTestContextBootstrapper - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.boot.test.autoconfigure.webservices.client.MockWebServiceServerTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.event.ApplicationEventsTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener, org.springframework.test.context.event.EventPublishingTestExecutionListener]
2023-08-22 16:08:11.701 [main] INFO  org.springframework.boot.test.context.SpringBootTestContextBootstrapper - Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@293bb8a5, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@2416a51, org.springframework.test.context.event.ApplicationEventsTestExecutionListener@6fa590ba, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@6e9319f, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@72e34f77, org.springframework.test.context.support.DirtiesContextTestExecutionListener@7bf9b098, org.springframework.test.context.event.EventPublishingTestExecutionListener@389adf1d, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@77307458, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@1fc0053e, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@290b1b2e, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@47874b25, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@33617539, org.springframework.boot.test.autoconfigure.webservices.client.MockWebServiceServerTestExecutionListener@2c177f9e]
2023-08-22 16:08:12.359 [main] INFO  com.wojucai.service.TestUserService - Starting TestUserService using Java 11.0.11 on LAPTOP-PQIHT6TS with PID 5860 (started by Xuyujie in D:\面试\OAuth-Project\AuthorizationServer)
2023-08-22 16:08:12.360 [main] INFO  com.wojucai.service.TestUserService - No active profile set, falling back to 1 default profile: "default"
2023-08-22 16:08:13.224 [main] INFO  org.springframework.cloud.context.scope.GenericScope - BeanFactory id=bee9491b-998f-3a46-acbb-7d266dc663c6
2023-08-22 16:08:14.685 [main] INFO  org.springframework.boot.autoconfigure.web.servlet.WelcomePageHandlerMapping - Adding welcome page: class path resource [static/index.html]
2023-08-22 16:08:15.488 [main] INFO  com.wojucai.service.TestUserService - Started TestUserService in 3.748 seconds (JVM running for 4.857)
2023-08-22 16:10:25.846 [main] INFO  org.springframework.boot.test.context.SpringBootTestContextBootstrapper - Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.wojucai.service.TestUserService], using SpringBootContextLoader
2023-08-22 16:10:25.852 [main] INFO  org.springframework.test.context.support.AbstractContextLoader - Could not detect default resource locations for test class [com.wojucai.service.TestUserService]: no resource found for suffixes {-context.xml, Context.groovy}.
2023-08-22 16:10:25.853 [main] INFO  org.springframework.test.context.support.AnnotationConfigContextLoaderUtils - Could not detect default configuration classes for test class [com.wojucai.service.TestUserService]: TestUserService does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
2023-08-22 16:10:25.958 [main] INFO  org.springframework.boot.test.context.SpringBootTestContextBootstrapper - Found @SpringBootConfiguration com.wojucai.OAuthApplication for test class com.wojucai.service.TestUserService
2023-08-22 16:10:26.053 [main] INFO  org.springframework.boot.test.context.SpringBootTestContextBootstrapper - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.boot.test.autoconfigure.webservices.client.MockWebServiceServerTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.event.ApplicationEventsTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener, org.springframework.test.context.event.EventPublishingTestExecutionListener]
2023-08-22 16:10:26.063 [main] INFO  org.springframework.boot.test.context.SpringBootTestContextBootstrapper - Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@293bb8a5, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@2416a51, org.springframework.test.context.event.ApplicationEventsTestExecutionListener@6fa590ba, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@6e9319f, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@72e34f77, org.springframework.test.context.support.DirtiesContextTestExecutionListener@7bf9b098, org.springframework.test.context.event.EventPublishingTestExecutionListener@389adf1d, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@77307458, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@1fc0053e, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@290b1b2e, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@47874b25, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@33617539, org.springframework.boot.test.autoconfigure.webservices.client.MockWebServiceServerTestExecutionListener@2c177f9e]
2023-08-22 16:10:26.671 [main] INFO  com.wojucai.service.TestUserService - Starting TestUserService using Java 11.0.11 on LAPTOP-PQIHT6TS with PID 18404 (started by Xuyujie in D:\面试\OAuth-Project\AuthorizationServer)
2023-08-22 16:10:26.673 [main] INFO  com.wojucai.service.TestUserService - No active profile set, falling back to 1 default profile: "default"
2023-08-22 16:10:27.639 [main] INFO  org.springframework.cloud.context.scope.GenericScope - BeanFactory id=bee9491b-998f-3a46-acbb-7d266dc663c6
2023-08-22 16:10:29.172 [main] INFO  org.springframework.boot.autoconfigure.web.servlet.WelcomePageHandlerMapping - Adding welcome page: class path resource [static/index.html]
2023-08-22 16:10:29.919 [main] INFO  com.wojucai.service.TestUserService - Started TestUserService in 3.817 seconds (JVM running for 4.953)
2023-08-22 16:12:29.793 [main] INFO  org.springframework.boot.test.context.SpringBootTestContextBootstrapper - Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.wojucai.service.TestUserService], using SpringBootContextLoader
2023-08-22 16:12:29.802 [main] INFO  org.springframework.test.context.support.AbstractContextLoader - Could not detect default resource locations for test class [com.wojucai.service.TestUserService]: no resource found for suffixes {-context.xml, Context.groovy}.
2023-08-22 16:12:29.803 [main] INFO  org.springframework.test.context.support.AnnotationConfigContextLoaderUtils - Could not detect default configuration classes for test class [com.wojucai.service.TestUserService]: TestUserService does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
2023-08-22 16:12:29.917 [main] INFO  org.springframework.boot.test.context.SpringBootTestContextBootstrapper - Found @SpringBootConfiguration com.wojucai.OAuthApplication for test class com.wojucai.service.TestUserService
2023-08-22 16:12:30.009 [main] INFO  org.springframework.boot.test.context.SpringBootTestContextBootstrapper - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.boot.test.autoconfigure.webservices.client.MockWebServiceServerTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.event.ApplicationEventsTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener, org.springframework.test.context.event.EventPublishingTestExecutionListener]
2023-08-22 16:12:30.019 [main] INFO  org.springframework.boot.test.context.SpringBootTestContextBootstrapper - Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@293bb8a5, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@2416a51, org.springframework.test.context.event.ApplicationEventsTestExecutionListener@6fa590ba, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@6e9319f, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@72e34f77, org.springframework.test.context.support.DirtiesContextTestExecutionListener@7bf9b098, org.springframework.test.context.event.EventPublishingTestExecutionListener@389adf1d, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@77307458, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@1fc0053e, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@290b1b2e, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@47874b25, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@33617539, org.springframework.boot.test.autoconfigure.webservices.client.MockWebServiceServerTestExecutionListener@2c177f9e]
2023-08-22 16:12:30.614 [main] INFO  com.wojucai.service.TestUserService - Starting TestUserService using Java 11.0.11 on LAPTOP-PQIHT6TS with PID 18572 (started by Xuyujie in D:\面试\OAuth-Project\AuthorizationServer)
2023-08-22 16:12:30.615 [main] INFO  com.wojucai.service.TestUserService - No active profile set, falling back to 1 default profile: "default"
2023-08-22 16:12:31.471 [main] INFO  org.springframework.cloud.context.scope.GenericScope - BeanFactory id=bee9491b-998f-3a46-acbb-7d266dc663c6
2023-08-22 16:12:32.963 [main] INFO  org.springframework.boot.autoconfigure.web.servlet.WelcomePageHandlerMapping - Adding welcome page: class path resource [static/index.html]
2023-08-22 16:12:33.770 [main] INFO  com.wojucai.service.TestUserService - Started TestUserService in 3.712 seconds (JVM running for 4.747)
2023-08-22 16:15:48.881 [main] INFO  org.springframework.boot.test.context.SpringBootTestContextBootstrapper - Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.wojucai.service.TestUserService], using SpringBootContextLoader
2023-08-22 16:15:48.889 [main] INFO  org.springframework.test.context.support.AbstractContextLoader - Could not detect default resource locations for test class [com.wojucai.service.TestUserService]: no resource found for suffixes {-context.xml, Context.groovy}.
2023-08-22 16:15:48.890 [main] INFO  org.springframework.test.context.support.AnnotationConfigContextLoaderUtils - Could not detect default configuration classes for test class [com.wojucai.service.TestUserService]: TestUserService does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
2023-08-22 16:15:49.031 [main] INFO  org.springframework.boot.test.context.SpringBootTestContextBootstrapper - Found @SpringBootConfiguration com.wojucai.OAuthApplication for test class com.wojucai.service.TestUserService
2023-08-22 16:15:49.132 [main] INFO  org.springframework.boot.test.context.SpringBootTestContextBootstrapper - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.boot.test.autoconfigure.webservices.client.MockWebServiceServerTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.event.ApplicationEventsTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener, org.springframework.test.context.event.EventPublishingTestExecutionListener]
2023-08-22 16:15:49.142 [main] INFO  org.springframework.boot.test.context.SpringBootTestContextBootstrapper - Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@293bb8a5, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@2416a51, org.springframework.test.context.event.ApplicationEventsTestExecutionListener@6fa590ba, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@6e9319f, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@72e34f77, org.springframework.test.context.support.DirtiesContextTestExecutionListener@7bf9b098, org.springframework.test.context.event.EventPublishingTestExecutionListener@389adf1d, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@77307458, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@1fc0053e, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@290b1b2e, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@47874b25, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@33617539, org.springframework.boot.test.autoconfigure.webservices.client.MockWebServiceServerTestExecutionListener@2c177f9e]
2023-08-22 16:15:49.775 [main] INFO  com.wojucai.service.TestUserService - Starting TestUserService using Java 11.0.11 on LAPTOP-PQIHT6TS with PID 14516 (started by Xuyujie in D:\面试\OAuth-Project\AuthorizationServer)
2023-08-22 16:15:49.776 [main] INFO  com.wojucai.service.TestUserService - No active profile set, falling back to 1 default profile: "default"
2023-08-22 16:15:50.860 [main] INFO  org.springframework.cloud.context.scope.GenericScope - BeanFactory id=bee9491b-998f-3a46-acbb-7d266dc663c6
2023-08-22 16:15:52.709 [main] INFO  org.springframework.boot.autoconfigure.web.servlet.WelcomePageHandlerMapping - Adding welcome page: class path resource [static/index.html]
2023-08-22 16:15:53.616 [main] INFO  com.wojucai.service.TestUserService - Started TestUserService in 4.433 seconds (JVM running for 5.628)
